id,element_group,element,orientation,x_start,y_start,z_start,x_end,y_end,z_end,weight
159,10,2,1,600,133.5,0,600,162,0,0
160,10,2,1,900,133.5,0,900,162,0,0
161,10,2,1,1200,133.5,0,1200,162,0,0
162,10,2,1,1500,133.5,0,1500,162,0,0
163,10,10,2,9,133.5,0,291,133.5,0,116.25
164,10,10,2,309,133.5,0,597,133.5,0,116.25
165,10,10,2,609,133.5,0,891,133.5,0,116.25
166,10,10,2,909,133.5,0,1191,133.5,0,116.25
167,10,10,2,1209,133.5,0,1491,133.5,0,116.25
168,10,2,2,0,133.5,0,9,133.5,0,0
169,10,2,2,300,133.5,0,309,133.5,0,0
170,10,2,2,600,133.5,0,609,133.5,0,0
171,10,2,2,900,133.5,0,909,133.5,0,0
172,10,2,2,1200,133.5,0,1209,133.5,0,0
173,10,2,2,291,133.5,0,300,133.5,0,0
174,10,2,2,597,133.5,0,600,133.5,0,0
175,10,2,2,891,133.5,0,900,133.5,0,0
176,10,2,2,1191,133.5,0,1200,133.5,0,0
177,10,2,2,1491,133.5,0,1500,133.5,0,0
178,10,6,1,0,0,300,0,129,300,0
179,10,6,1,300,0,300,300,129,300,0
180,10,6,1,600,0,300,600,129,300,0
181,10,6,1,900,0,300,900,129,300,0
182,10,6,1,1200,0,300,1200,129,300,0
183,10,6,1,1500,0,300,1500,129,300,0
184,10,2,1,0,129,300,0,145.5,300,0
185,10,2,1,300,129,300,300,145.5,300,0
186,10,2,1,600,129,300,600,145.5,300,0
187,10,2,1,900,129,300,900,145.5,300,0
188,10,2,1,1200,129,300,1200,145.5,300,0
189,10,2,1,1500,129,300,1500,145.5,300,0
190,10,2,1,0,145.5,300,0,162,300,0
191,10,2,1,300,145.5,300,300,162,300,0
192,10,2,1,600,145.5,300,600,162,300,0
193,10,2,1,900,145.5,300,900,162,300,0
194,10,2,1,1200,145.5,300,1200,162,300,0
195,10,2,1,1500,145.5,300,1500,162,300,0
196,10,9,2,12,145.5,300,288,145.5,300,116.25
197,10,9,2,312,145.5,300,588,145.5,300,116.25
198,10,9,2,612,145.5,300,888,145.5,300,116.25
199,10,9,2,912,145.5,300,1188,145.5,300,116.25
200,10,9,2,1212,145.5,300,1488,145.5,300,116.25
201,10,2,2,0,145.5,300,12,145.5,300,0
202,10,2,2,300,145.5,300,312,145.5,300,0
203,10,2,2,600,145.5,300,612,145.5,300,0
