id,element_type,hinge_side,building_name,member_id,gather_test_data,run_p58,joint_id,system_type,story,description,earthquake_name,units
30,beam,1,ICSB,b-1EF3-east,0,1,j-1E3,1,1,NA,1979 Imperial Valley,1
32,beam,1,ICSB,b-1FG3-east,0,1,j-1F3,1,1,NA,1979 Imperial Valley,1
35,beam,1,ICSB,b-1BC4-east,0,1,j-1B4,1,1,NA,1979 Imperial Valley,1
37,beam,1,ICSB,b-1CD4-east,0,1,j-1C4,1,1,NA,1979 Imperial Valley,1
39,beam,1,ICSB,b-1DE4-east,0,1,j-1D4,1,1,NA,1979 Imperial Valley,1
41,beam,1,ICSB,b-1EF4-east,0,1,j-1E4,1,1,NA,1979 Imperial Valley,1
43,beam,1,ICSB,b-1FG4-east,0,1,j-1F4,1,1,NA,1979 Imperial Valley,1
2,beam,2,ICSB,b-1BC1-west,0,1,j-1C1,1,1,NA,1979 Imperial Valley,1
4,beam,2,ICSB,b-1CD1-west,0,1,j-1D1,1,1,NA,1979 Imperial Valley,1
6,beam,2,ICSB,b-1DE1-west,0,1,j-1E1,1,1,NA,1979 Imperial Valley,1
8,beam,2,ICSB,b-1EF1-west,0,1,j-1F1,1,1,NA,1979 Imperial Valley,1
10,beam,2,ICSB,b-1FG1-west,0,1,j-1G1,1,1,NA,1979 Imperial Valley,1
13,beam,2,ICSB,b-1BC2-west,0,1,j-1C2,1,1,NA,1979 Imperial Valley,1
15,beam,2,ICSB,b-1CD2-west,0,1,j-1D2,1,1,NA,1979 Imperial Valley,1
17,beam,2,ICSB,b-1DE2-west,0,1,j-1E2,1,1,NA,1979 Imperial Valley,1
19,beam,2,ICSB,b-1EF2-west,0,1,j-1F2,1,1,NA,1979 Imperial Valley,1
21,beam,2,ICSB,b-1FG2-west,0,1,j-1G2,1,1,NA,1979 Imperial Valley,1
24,beam,2,ICSB,b-1BC3-west,0,1,j-1C3,1,1,NA,1979 Imperial Valley,1
26,beam,2,ICSB,b-1CD3-west,0,1,j-1D3,1,1,NA,1979 Imperial Valley,1
28,beam,2,ICSB,b-1DE3-west,0,1,j-1E3,1,1,NA,1979 Imperial Valley,1
30,beam,2,ICSB,b-1EF3-west,0,1,j-1F3,1,1,NA,1979 Imperial Valley,1
32,beam,2,ICSB,b-1FG3-west,0,1,j-1G3,1,1,NA,1979 Imperial Valley,1
35,beam,2,ICSB,b-1BC4-west,0,1,j-1C4,1,1,NA,1979 Imperial Valley,1
37,beam,2,ICSB,b-1CD4-west,0,1,j-1D4,1,1,NA,1979 Imperial Valley,1
39,beam,2,ICSB,b-1DE4-west,0,1,j-1E4,1,1,NA,1979 Imperial Valley,1
41,beam,2,ICSB,b-1EF4-west,0,1,j-1F4,1,1,NA,1979 Imperial Valley,1
43,beam,2,ICSB,b-1FG4-west,0,1,j-1G4,1,1,NA,1979 Imperial Valley,1
