id,x,y,z,dead_load,live_load,mass,record_disp,record_accel,story,primary_story,on_slab,fix
6198,983,159,0,0,0,0,0,0,0,0,0,[000000]
6199,1271,144,0,0,0,0,0,0,0,0,0,[000000]
6200,1259,159,0,0,0,0,0,0,0,0,0,[000000]
6201,1283,159,0,0,0,0,0,0,0,0,0,[000000]
6202,1571,144,0,0,0,0,0,0,0,0,0,[000000]
6203,1559,159,0,0,0,0,0,0,0,0,0,[000000]
6204,71,144,300,0,0,0,0,0,0,0,0,[000000]
6205,83,159,300,0,0,0,0,0,0,0,0,[000000]
6206,371,144,300,0,0,0,0,0,0,0,0,[000000]
6207,359,159,300,0,0,0,0,0,0,0,0,[000000]
6208,383,159,300,0,0,0,0,0,0,0,0,[000000]
6209,671,144,300,0,0,0,0,0,0,0,0,[000000]
6210,659,159,300,0,0,0,0,0,0,0,0,[000000]
6211,683,159,300,0,0,0,0,0,0,0,0,[000000]
6212,971,144,300,0,0,0,0,0,0,0,0,[000000]
6213,959,159,300,0,0,0,0,0,0,0,0,[000000]
6214,983,159,300,0,0,0,0,0,0,0,0,[000000]
6215,1271,144,300,0,0,0,0,0,0,0,0,[000000]
6216,1259,159,300,0,0,0,0,0,0,0,0,[000000]
6217,1283,159,300,0,0,0,0,0,0,0,0,[000000]
6218,1571,144,300,0,0,0,0,0,0,0,0,[000000]
6219,1559,159,300,0,0,0,0,0,0,0,0,[000000]
6220,71,144,600,0,0,0,0,0,0,0,0,[000000]
6221,83,159,600,0,0,0,0,0,0,0,0,[000000]
6222,371,144,600,0,0,0,0,0,0,0,0,[000000]
6223,359,159,600,0,0,0,0,0,0,0,0,[000000]
6224,383,159,600,0,0,0,0,0,0,0,0,[000000]
6225,671,144,600,0,0,0,0,0,0,0,0,[000000]
6226,659,159,600,0,0,0,0,0,0,0,0,[000000]
6227,683,159,600,0,0,0,0,0,0,0,0,[000000]
6228,971,144,600,0,0,0,0,0,0,0,0,[000000]
6229,959,159,600,0,0,0,0,0,0,0,0,[000000]
6230,983,159,600,0,0,0,0,0,0,0,0,[000000]
6231,1271,144,600,0,0,0,0,0,0,0,0,[000000]
6232,1259,159,600,0,0,0,0,0,0,0,0,[000000]
6233,1283,159,600,0,0,0,0,0,0,0,0,[000000]
6234,1571,144,600,0,0,0,0,0,0,0,0,[000000]
